region	north_america	#807dba

country	canada	#bcbddc

location	village_a	#7fc97f
location	village_b	#beaed4
location	village_c	#fdc086
location	village_d	#ffff99
location	village_e	#386cb0
location	village_k	#f0027f
location	other_village	#bf5b17

cluster	Mj-I	#a6cee3
cluster	Mj-II	#fb9a99
cluster	Mj-III.a	#b15928
cluster	Mj-III.b	#ffff99
cluster	Mj-III.c	#00441b
cluster	Mj-IV.a	#e31a1c
cluster	Mj-IV.b	#33a02c
cluster	Mj-IV.c	#cab2d6
cluster	Mj-V.a	#1f78b4
cluster	Mj-V.b	#67001f
cluster	Mj-V.d	#b2df8a
cluster	Mj-V.c	#6a3d9a
cluster	Mj-VI	#fdbf6f
cluster	Mn	#ff7f00



